Year,State,District,Mine_Name,Mine_Type,Place_of_Operation,Accident_Type,Machinery_Involved,Injured,Death,Worker_Age,Worker_Experience_Years,Training_Level,Shift,Safety_Compliance_Score,Risk_Score,Risk_Level
2017,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Stockyard,Gas leakage,,2,0,41,10+ years,Advanced,Afternoon,95,,Very High
2017,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Fire,Dumper,6,0,35,1–3 years,Basic,Morning,50,99.01844753598851,Very High
2017,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Shaft,Machinery collision,Dumper,5,0,18,1–3 years,Advanced,Night,77,83.18505534257004,High
2017,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Excavation Area,Roof fall,Loader,6,1,36,1–3 years,,Morning,38,,Very High
2017,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Stockyard,Roof fall,Loader,3,0,29,3–5 years,Intermediate,Night,64,69.13675886013826,High
2017,Odisha,Angul,Talcher Coal Mine,Underground,Excavation Area,Fall of person,Loader,3,0,24,1–3 years,Intermediate,Morning,77,68.89159316234358,High
2017,Odisha,Angul,Talcher Coal Mine,Underground,Face,Side fall,Excavator,6,0,36,5–10 years,Basic,Morning,55,84.36460789926657,High
2017,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Fire,Dumper,5,0,21,<1 year,Advanced,Afternoon,59,86.50676319732008,Very High
2017,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Gas leakage,Drill,4,0,26,1–3 years,Certified,Morning,82,69.5087329961441,High
2017,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Excavation Area,Roof fall,Truck,4,1,30,3–5 years,Intermediate,Night,74,102.45200756751163,Very High
2017,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Roof fall,Drill,4,0,23,1–3 years,Intermediate,Morning,53,86.61413630862927,Very High
2017,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Stockyard,Gas leakage,,4,0,35,5–10 years,Intermediate,Morning,70,,Very High
2017,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Stockyard,Fall of person,Truck,4,0,33,3–5 years,Certified,Afternoon,69,72.28067666635847,High
2017,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Haul Road,Gas leakage,Dumper,4,0,38,5–10 years,Intermediate,Afternoon,68,80.30266939106002,High
2017,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Haul Road,Fall of person,Loader,6,0,26,1–3 years,Basic,Morning,37,83.77136977433487,High
2017,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Haul Road,Electrical accident,Dumper,5,0,27,1–3 years,Advanced,Night,66,75.31643000775554,High
2017,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Excavation Area,Side fall,Excavator,7,0,21,<1 year,,Morning,31,,Very High
2017,Tamil Nadu,Ariyalur,Lignite Mine,Opencast,Haul Road,Vehicle rollover,Truck,6,0,18,<1 year,Intermediate,Morning,52,89.3061488586966,Very High
2017,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Underground,Shaft,Fall of person,Loader,3,0,36,3–5 years,Advanced,Afternoon,83,69.65600197636836,High
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Face,Side fall,,9,0,20,<1 year,,Night,44,,Very High
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Excavation Area,Fire,Dumper,5,0,18,<1 year,Advanced,Afternoon,54,95.10868434937251,Very High
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Shaft,Electrical accident,Dumper,7,0,24,<1 year,Basic,Night,51,95.21282512772638,Very High
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Shaft,Machinery collision,Heavy Earth Moving Machinery,6,0,27,3–5 years,Intermediate,Afternoon,85,80.94061110125654,High
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Face,Side fall,Loader,9,0,32,<1 year,,Afternoon,48,,Very High
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Excavation Area,Explosion,Excavator,4,0,32,5–10 years,Intermediate,Morning,87,71.62559517729389,High
2017,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Face,Gas leakage,Loader,5,0,45,10+ years,,Morning,55,,Very High
2017,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Face,Roof fall,Excavator,8,0,27,<1 year,Intermediate,Night,74,91.41704488515205,Very High
2017,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Vehicle rollover,Loader,4,0,35,3–5 years,,Morning,62,,Very High
2017,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Shaft,Fire,,5,0,18,<1 year,Certified,Afternoon,65,,Very High
2017,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Excavation Area,Roof fall,Truck,3,0,32,1–3 years,Advanced,Afternoon,80,76.46457025519547,High
2017,Uttar Pradesh,Sonbhadra,Singrauli Coal Mine,Underground,Stockyard,Gas leakage,Drill,5,0,18,<1 year,Advanced,Afternoon,82,76.81490042378212,High
2017,Uttar Pradesh,Sonbhadra,Singrauli Coal Mine,Underground,Face,Machinery collision,Loader,4,0,33,1–3 years,Intermediate,Morning,84,71.632834873784,High
2017,Uttar Pradesh,Sonbhadra,Singrauli Coal Mine,Opencast,Face,Electrical accident,Heavy Earth Moving Machinery,5,0,37,10+ years,Intermediate,Afternoon,55,72.42811880867751,High
2017,West Bengal,Bankura,Bankura Coal Mine,Opencast,Excavation Area,Fall of person,Drill,5,0,29,<1 year,,Night,27,,Very High
2017,West Bengal,Bankura,Bankura Coal Mine,Opencast,Excavation Area,Machinery collision,Drill,5,0,28,<1 year,Intermediate,Night,62,78.44313810547294,High
2017,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Haul Road,Explosion,Truck,4,0,23,3–5 years,Basic,Night,77,94.53220497270111,Very High
2017,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Workshop,Roof fall,Excavator,9,0,31,<1 year,,Morning,27,,Very High
2017,West Bengal,Purulia,Purulia Coal Mine,Underground,Stockyard,Gas leakage,Drill,2,0,41,10+ years,Intermediate,Night,84,60.88932252817164,High
2017,West Bengal,Purulia,Purulia Coal Mine,Underground,Haul Road,Fall of person,Heavy Earth Moving Machinery,7,0,23,<1 year,Intermediate,Night,55,108.24869984033951,Very High
2017,West Bengal,Purulia,Purulia Coal Mine,Opencast,Face,Roof fall,Drill,3,0,38,5–10 years,Intermediate,Afternoon,91,52.66014106883464,Moderate
2017,West Bengal,Purulia,Purulia Coal Mine,Underground,Face,Blasting accident,Loader,3,0,46,10+ years,Intermediate,Morning,71,73.65514380364883,High
2018,Chhattisgarh,Korba,Gevra Coal Mine,Opencast,Stockyard,Vehicle rollover,Truck,3,0,23,<1 year,Certified,Afternoon,75,69.06019074522419,High
2018,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Workshop,Roof fall,Dumper,7,0,30,3–5 years,Basic,Morning,67,102.6109259626189,Very High
2018,Chhattisgarh,Koriya,Chirimiri Coal Mine,Opencast,Excavation Area,Fall of person,Drill,6,0,31,3–5 years,,Morning,53,,Very High
2018,Chhattisgarh,Koriya,Chirimiri Coal Mine,Opencast,Stockyard,Machinery collision,Truck,8,0,18,1–3 years,Intermediate,Night,78,87.34226256072239,Very High
2018,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Excavation Area,Side fall,Excavator,4,0,48,10+ years,Intermediate,Morning,73,67.61600705397281,High
2018,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Haul Road,Side fall,Excavator,5,1,39,10+ years,Basic,Afternoon,82,89.8055650052232,Very High
2018,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Excavation Area,Side fall,,3,0,21,3–5 years,Certified,Afternoon,77,,Very High
2018,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Face,Side fall,Drill,7,0,18,<1 year,Intermediate,Night,35,108.03587688197307,Very High
2018,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Haul Road,Electrical accident,Heavy Earth Moving Machinery,10,0,18,<1 year,Certified,Night,55,108.90869914184971,Very High
2018,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Workshop,Roof fall,Loader,3,0,18,<1 year,Intermediate,Morning,66,77.65272557303996,High
2018,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Stockyard,Explosion,Loader,7,0,25,1–3 years,,Morning,40,,Very High
2018,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Stockyard,Vehicle rollover,Heavy Earth Moving Machinery,6,0,26,1–3 years,Intermediate,Night,71,86.92749655754528,Very High
2018,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Excavation Area,Vehicle rollover,Excavator,3,0,24,1–3 years,Advanced,Morning,81,73.85863426669403,High
2018,Jharkhand,Giridih,Giridih Coalfield,Opencast,Workshop,Vehicle rollover,Heavy Earth Moving Machinery,4,0,30,3–5 years,Intermediate,Morning,71,61.130939229633,High
2018,Jharkhand,Ramgarh,Central Coal Mine,Underground,Face,Roof fall,Dumper,5,0,36,5–10 years,Advanced,Afternoon,86,76.34504076149805,High
2018,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Face,Gas leakage,Dumper,7,0,39,10+ years,,Night,44,,Very High
2018,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Excavation Area,Roof fall,Excavator,3,0,49,10+ years,,Morning,79,,Very High
2018,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Workshop,Blasting accident,Dumper,8,0,21,1–3 years,,Afternoon,45,,Very High
2018,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Haul Road,Machinery collision,Dumper,8,0,28,5–10 years,,Afternoon,74,,Very High
2018,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Face,Vehicle rollover,Loader,2,0,41,10+ years,Certified,Night,100,40.689020888282776,Moderate
2018,Madhya Pradesh,Umaria,Umaria Coal Mine,Opencast,Stockyard,Roof fall,Truck,3,0,26,1–3 years,Advanced,Morning,89,54.538785162960124,Moderate
2018,Madhya Pradesh,Umaria,Umaria Coal Mine,Opencast,Workshop,Machinery collision,Drill,5,0,28,<1 year,Advanced,Morning,50,66.7183909957387,High
2018,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Haul Road,Electrical accident,Dumper,9,0,18,1–3 years,Intermediate,Afternoon,64,96.47853347313146,Very High
2018,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Haul Road,Fire,Truck,12,0,31,3–5 years,,Night,55,,Very High
2018,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Excavation Area,Roof fall,Truck,5,0,21,1–3 years,Advanced,Morning,74,69.58228735961526,High
2018,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Shaft,Gas leakage,Heavy Earth Moving Machinery,10,1,26,1–3 years,Basic,Night,49,137.79359860957675,Very High
2018,Odisha,Angul,Talcher Coal Mine,Underground,Haul Road,Electrical accident,Dumper,4,0,21,1–3 years,Advanced,Night,94,86.97577635730131,Very High
2018,Odisha,Angul,Talcher Coal Mine,Underground,Face,Roof fall,Loader,6,0,22,<1 year,Advanced,Morning,56,91.13567608927204,Very High
2018,Odisha,Angul,Talcher Coal Mine,Underground,Face,Blasting accident,Dumper,8,0,32,5–10 years,Basic,Night,75,91.89942965336957,Very High
2018,Odisha,Angul,Talcher Coal Mine,Opencast,Excavation Area,Machinery collision,Loader,5,1,38,5–10 years,Intermediate,Afternoon,45,87.74581725907771,Very High
2018,Odisha,Angul,Talcher Coal Mine,Underground,Face,Machinery collision,Excavator,7,0,28,1–3 years,Advanced,Night,77,80.55285414092646,High
2018,Odisha,Jharsuguda,Ib Valley Coal Mine,Opencast,Face,Explosion,Heavy Earth Moving Machinery,4,0,32,5–10 years,,Morning,79,,Very High
2018,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Excavation Area,Explosion,Loader,6,0,33,5–10 years,Basic,Morning,72,82.0299170462692,High
2018,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Stockyard,Vehicle rollover,Dumper,3,0,34,5–10 years,Advanced,Morning,78,51.3410542341324,Moderate
2018,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Vehicle rollover,Loader,5,0,30,<1 year,Advanced,Morning,51,89.61994911592183,Very High
2018,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Face,Side fall,Truck,7,0,32,5–10 years,,Morning,51,,Very High
2018,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Electrical accident,Drill,5,1,26,1–3 years,,Morning,32,,Very High
2018,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Side fall,Drill,5,0,18,<1 year,,Morning,57,,Very High
2018,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Shaft,Machinery collision,Heavy Earth Moving Machinery,8,0,30,<1 year,Intermediate,Night,56,111.70021875535618,Very High
2018,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Excavation Area,Side fall,Loader,6,0,48,10+ years,Basic,Night,47,80.58668306970516,High
2018,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Haul Road,Gas leakage,Truck,8,0,31,<1 year,,Morning,49,,Very High
2018,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Shaft,Fire,Dumper,6,0,38,5–10 years,Basic,Afternoon,57,86.81992684384383,Very High
2018,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,5,0,27,1–3 years,Certified,Night,82,84.15646418265982,High
2018,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Workshop,Gas leakage,Excavator,4,0,21,<1 year,Intermediate,Night,53,88.4714477882191,Very High
2018,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Stockyard,Vehicle rollover,Heavy Earth Moving Machinery,3,0,33,3–5 years,Advanced,Morning,64,86.88862478805054,Very High
2018,Telangana,Peddapalli,Singareni Coal Mine,Underground,Stockyard,Fall of person,Truck,8,0,43,10+ years,Basic,Night,59,99.52986104220459,Very High
2018,Telangana,Peddapalli,Singareni Coal Mine,Underground,Stockyard,Vehicle rollover,Excavator,5,0,36,10+ years,,Morning,45,,Very High
2018,Telangana,Peddapalli,Singareni Coal Mine,Opencast,Haul Road,Side fall,,4,0,38,3–5 years,,Morning,72,,Very High
2018,Telangana,Peddapalli,Singareni Coal Mine,Underground,Stockyard,Machinery collision,Excavator,7,0,22,<1 year,Basic,Night,48,107.86764459674649,Very High
2018,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Fire,Heavy Earth Moving Machinery,7,0,18,1–3 years,Basic,Night,61,113.76932213752487,Very High
2018,Telangana,Peddapalli,Singareni Coal Mine,Underground,Shaft,Fall of person,,4,0,32,3–5 years,Intermediate,Night,79,,Very High
2018,Telangana,Peddapalli,Singareni Coal Mine,Underground,Shaft,Vehicle rollover,,5,0,28,1–3 years,Basic,Afternoon,93,,Very High
2018,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Excavation Area,Roof fall,Heavy Earth Moving Machinery,7,1,36,5–10 years,,Afternoon,43,,Very High
2018,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Face,Fire,Dumper,11,0,18,<1 year,,Night,29,,Very High
2018,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Stockyard,Fall of person,Dumper,7,0,37,5–10 years,Basic,Night,67,65.23493063972371,High
2018,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Stockyard,Electrical accident,Excavator,3,0,26,5–10 years,Intermediate,Afternoon,68,51.70244943466284,Moderate
2018,West Bengal,Purulia,Purulia Coal Mine,Underground,Shaft,Blasting accident,,7,0,38,3–5 years,,Morning,46,,Very High
2019,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Face,Fall of person,Dumper,4,0,29,1–3 years,Basic,Afternoon,56,87.6088672721406,Very High
2019,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Haul Road,Explosion,Drill,9,0,24,1–3 years,Basic,Afternoon,34,121.92964521572655,Very High
2019,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Shaft,Vehicle rollover,Drill,5,0,33,3–5 years,Intermediate,Night,49,85.67943448815747,Very High
2019,Chhattisgarh,Koriya,Chirimiri Coal Mine,Opencast,Excavation Area,Side fall,Excavator,4,0,28,1–3 years,Intermediate,Afternoon,64,67.63982205321207,High
2019,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Haul Road,Side fall,Dumper,6,0,23,3–5 years,Basic,Night,73,98.32296230914436,Very High
2019,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Excavation Area,Machinery collision,Loader,5,0,28,1–3 years,Intermediate,Afternoon,84,83.16509315626446,High
2019,Chhattisgarh,Surguja,Bishrampur Coal Mine,Opencast,Stockyard,Fire,Heavy Earth Moving Machinery,5,0,23,<1 year,Advanced,Morning,63,73.05655139528224,High
2019,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Haul Road,Fire,Truck,5,0,26,1–3 years,,Morning,69,,Very High
2019,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Opencast,Face,Machinery collision,Excavator,3,0,46,10+ years,Intermediate,Afternoon,87,49.24093224407835,Moderate
2019,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Workshop,Machinery collision,Drill,4,0,22,<1 year,Intermediate,Morning,69,66.47396539580821,High
2019,Jharkhand,Bokaro,Bokaro Coal Mine,Opencast,Face,Vehicle rollover,Truck,6,0,27,<1 year,Intermediate,Afternoon,61,90.44841389705307,Very High
2019,Jharkhand,Bokaro,Bokaro Coal Mine,Opencast,Workshop,Explosion,Drill,4,0,36,3–5 years,Certified,Night,93,54.59623878229388,Moderate
2019,Jharkhand,Bokaro,Bokaro Coal Mine,Opencast,Excavation Area,Blasting accident,Excavator,5,0,51,10+ years,Intermediate,Morning,85,51.59913249136482,Moderate
2019,Jharkhand,Bokaro,Bokaro Coal Mine,Opencast,Excavation Area,Explosion,Heavy Earth Moving Machinery,4,1,21,<1 year,Intermediate,Afternoon,69,101.67920833996008,Very High
2019,Jharkhand,Bokaro,Bokaro Coal Mine,Underground,Face,Blasting accident,,5,0,34,1–3 years,,Night,57,,Very High
2019,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Excavation Area,Fall of person,Dumper,5,0,23,3–5 years,Basic,Night,58,95.254069381005,Very High
2019,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Haul Road,Electrical accident,Loader,7,0,25,3–5 years,Intermediate,Morning,62,87.8485226980842,Very High
2019,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Workshop,Fire,Excavator,3,0,32,5–10 years,Basic,Morning,60,68.34406726458141,High
2019,Jharkhand,Giridih,Giridih Coalfield,Underground,Face,Explosion,Loader,3,0,24,1–3 years,Advanced,Morning,67,75.24873800469261,High
2019,Jharkhand,Giridih,Giridih Coalfield,Underground,Excavation Area,Roof fall,Heavy Earth Moving Machinery,3,0,37,1–3 years,Intermediate,Afternoon,71,99.13213349862507,Very High
2019,Jharkhand,Giridih,Giridih Coalfield,Underground,Excavation Area,Explosion,Drill,9,0,30,5–10 years,Intermediate,Afternoon,77,76.39164880191,High
2019,Jharkhand,Giridih,Giridih Coalfield,Opencast,Stockyard,Explosion,Drill,5,0,38,10+ years,Basic,Afternoon,82,60.59285961985767,High
2019,Jharkhand,Ramgarh,Central Coal Mine,Underground,Shaft,Fall of person,,5,0,25,1–3 years,Basic,Afternoon,56,,Very High
2019,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Haul Road,Machinery collision,Truck,5,0,21,<1 year,Basic,Night,51,101.72396747094012,Very High
2019,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Excavation Area,Roof fall,Drill,6,0,31,3–5 years,,Night,56,,Very High
2019,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Stockyard,Vehicle rollover,Drill,4,0,34,3–5 years,Basic,Morning,59,62.5675109985709,High
2019,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Face,Side fall,Heavy Earth Moving Machinery,7,0,31,5–10 years,Advanced,Afternoon,88,78.82799626136466,High
2019,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Haul Road,Roof fall,Excavator,5,0,25,<1 year,Advanced,Afternoon,59,88.04254097222316,Very High
2019,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Excavation Area,Blasting accident,Dumper,5,0,27,1–3 years,Advanced,Morning,73,85.19840838808409,Very High
2019,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Haul Road,Machinery collision,Dumper,4,0,32,1–3 years,Intermediate,Afternoon,63,80.22806194386018,High
2019,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Face,Gas leakage,,5,0,23,<1 year,Advanced,Night,75,,Very High
2019,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Underground,Face,Machinery collision,,4,0,21,1–3 years,Basic,Afternoon,60,,Very High
2019,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Underground,Excavation Area,Explosion,Drill,5,0,25,5–10 years,,Morning,52,,Very High
2019,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Face,Roof fall,Loader,3,0,32,5–10 years,Certified,Morning,90,48.25144847535584,Moderate
2019,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Underground,Excavation Area,Roof fall,Heavy Earth Moving Machinery,5,0,23,<1 year,Certified,Morning,81,84.11851536769444,High
2019,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Underground,Shaft,Machinery collision,Drill,3,0,35,3–5 years,Certified,Afternoon,75,59.68401995631171,Moderate
2019,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Underground,Face,Electrical accident,,6,0,20,<1 year,Certified,Morning,66,,Very High
2019,Madhya Pradesh,Umaria,Umaria Coal Mine,Underground,Haul Road,Explosion,Truck,6,0,31,5–10 years,Advanced,Night,77,98.18917442049305,Very High
2019,Madhya Pradesh,Umaria,Umaria Coal Mine,Opencast,Haul Road,Vehicle rollover,Dumper,6,0,34,10+ years,,Afternoon,64,,Very High
2019,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Workshop,Gas leakage,Heavy Earth Moving Machinery,6,0,41,10+ years,Basic,Night,52,105.11639362414341,Very High
2019,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Haul Road,Machinery collision,Truck,6,0,23,1–3 years,Certified,Night,62,96.66930953323514,Very High
2019,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Face,Fall of person,Excavator,3,0,35,5–10 years,Basic,Night,84,77.51065958315371,High
2019,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Shaft,Vehicle rollover,,2,0,45,10+ years,Advanced,Night,85,,Very High
2019,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Side fall,Loader,5,0,36,5–10 years,Basic,Night,80,86.18838952468015,Very High
2019,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Excavation Area,Roof fall,Excavator,4,0,27,5–10 years,Basic,Night,71,70.79122939026442,High
2019,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Haul Road,Gas leakage,Loader,7,0,30,1–3 years,Certified,Afternoon,64,92.52927518709113,Very High
2019,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Gas leakage,Dumper,3,0,18,1–3 years,Intermediate,Afternoon,75,92.39510740794876,Very High
2019,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Stockyard,Machinery collision,,3,0,23,1–3 years,Advanced,Night,56,,Very High
2019,Odisha,Angul,Talcher Coal Mine,Underground,Excavation Area,Fire,Truck,6,0,33,5–10 years,Certified,Night,83,85.05403854400255,Very High
2019,Odisha,Jharsuguda,Ib Valley Coal Mine,Opencast,Excavation Area,Roof fall,Excavator,3,0,27,1–3 years,Basic,Morning,59,75.62191522861733,High
2019,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Haul Road,Side fall,Dumper,5,0,29,1–3 years,Basic,Morning,54,96.48401536653104,Very High
2019,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Excavation Area,Roof fall,Heavy Earth Moving Machinery,8,0,32,3–5 years,Intermediate,Night,54,112.12781188517987,Very High
2019,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Excavation Area,Roof fall,Dumper,3,0,26,3–5 years,Advanced,Afternoon,93,67.55893297362617,High
2019,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Stockyard,Gas leakage,Heavy Earth Moving Machinery,7,0,39,10+ years,Basic,Night,50,110.29666540995377,Very High
2019,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Haul Road,Vehicle rollover,Dumper,5,0,26,1–3 years,Basic,Night,46,98.07942778252925,Very High
2019,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Excavation Area,Explosion,Loader,2,0,42,3–5 years,Certified,Afternoon,95,65.38798385997087,High
2019,Tamil Nadu,Ariyalur,Lignite Mine,Opencast,Face,Gas leakage,Heavy Earth Moving Machinery,9,0,27,1–3 years,,Afternoon,47,,Very High
2019,Tamil Nadu,Ariyalur,Lignite Mine,Opencast,Stockyard,Fall of person,,5,1,18,<1 year,Advanced,Afternoon,65,,Very High
2019,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Haul Road,Fire,Dumper,6,0,27,1–3 years,,Morning,55,,Very High
2019,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Excavation Area,Roof fall,Drill,3,0,27,3–5 years,Certified,Night,74,53.375930474001194,Moderate
2019,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Stockyard,Fire,Dumper,6,0,30,1–3 years,Advanced,Morning,64,66.54324554884907,High
2019,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Haul Road,Vehicle rollover,Truck,5,0,34,3–5 years,Basic,Afternoon,64,91.03244349400028,Very High
2019,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Excavation Area,Roof fall,Truck,3,0,41,10+ years,Advanced,Night,100,71.16665077585175,High
2019,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Workshop,Side fall,Heavy Earth Moving Machinery,7,0,25,1–3 years,Intermediate,Afternoon,59,100.89647926820862,Very High
2019,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Excavation Area,Roof fall,Dumper,7,0,24,3–5 years,,Night,40,,Very High
2019,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Excavation Area,Blasting accident,,5,0,20,1–3 years,Intermediate,Afternoon,58,,Very High
2019,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Workshop,Fire,Excavator,5,0,28,1–3 years,Intermediate,Night,66,84.01098251405666,High
2019,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Shaft,Machinery collision,,5,0,33,3–5 years,,Morning,25,,Very High
2019,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,1,19,1–3 years,,Morning,34,,Very High
2019,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Gas leakage,Truck,2,0,38,1–3 years,Certified,Night,89,88.30047893367102,Very High
2019,Telangana,Peddapalli,Singareni Coal Mine,Underground,Excavation Area,Roof fall,Dumper,4,0,20,1–3 years,Intermediate,Night,61,95.01177047399143,Very High
2019,Telangana,Peddapalli,Singareni Coal Mine,Opencast,Haul Road,Vehicle rollover,Heavy Earth Moving Machinery,8,0,28,<1 year,Intermediate,Afternoon,44,102.09801121282996,Very High
